username,comment,
@adesuryadi2247,"Zaman digital gampang mencari informasi, ketika keadilan belum tercapai, Rakyat berhak berfikir secara logika akal sehat, agar pemerintah tetap sehat mensejahterakan rakyatnya. ayo bangkit Indonesia tercinta",
@axcelkey07,"Teruslah menyuarakan kebenaran dan kesejahteraan bangsa yang diamanatkan dalam sila ke lima pancasila sebagai dasar bernegara kita Prof Mahmud !
Keadilan sosial bagi seluruh rakyat Indonesia 🇲🇨🇲🇨🇲🇨",
@WidodoDwipratomo,"Dibubarin..(gak boleh, ditolol tololin), dikritik (gak mempan), di protes  (gak dianggap), di demo (diusir aparat militer), ... Ditanya (ngeles sana sini). Apakah masih relevan ""kekuasaan ditangan rakyat"", klo rakyatnya tak mampu berbuat apa apa...",
@myaclassic8749,"Jujur ya pak, seandainya waktu pemilu 2024 kemarin bapak yg jd capres dan ganjar jadi cawapres, pasti saya coblos bapak. Melihat pasangan pemilu 2024 kemarin sebenarnya membingungkan mau pilih yg mana. Sehat2 selalu pak mahfud",
@AbuAbdillah-t9i,"Bismillah.. 
Bener kata pak Mahfud MD, Demontrasi 25 Agustus kemarin organik, karena memang tergerak dari Hati masyarakat miskin yg sedang kesusahan untuk hidup sehari-hari.",
@PermataIndah-r1b,"P. Mahfud yth kalo dpr kurang ajar mari kita hajar bersama sama kanmasih banyak orang diluar yang beritegritas, lebih baik dibubarkan diganti orang luar",
@AgongJaya-y6u,"Pak prof mahfud MD, tokoh yang sering menyuarakan UU perampasan aset koruptor, tapi justru pak mahfud sekarang tidak di gunakan oleh pemerintah saat ini, hanya presiden gus dur dan jokowi yang sangat melihat kelebihan dan integritas pak  prof mahfud, sehat selalu bapakku yang baik jujur, bapak mahfud di hati pribadi adalah orang pilihan dan istimewa",
@yatinarzo8707,"Tak ada asap kalau tak ada api.Karena rakyat sudah muak dengan kelakuan pejabat yang keterlaluan di tengah kondisi rakyat yang memprihatinkan.Yang baru2 ini viral aja,kematian Raya,kelaparan anak&Bapak berkebutuhan khusus,nasib Guru2 honorer yg 3 bln digaji 300rb dan masih banyak lagi kasus2 serupa.Tapi wakil rakyat joget2,ada yg mengeruk uang pajak rakyat demi membuncitkan perutnya sendiri.Apakah tidak menyakiti hati RAKYAT?Mungkin karena rakyat sudah hilang kesabaran ,atau menunggu TANGAN TUHAN saja yang bertindak menghukum para koruptor dan pemimpin yang dzolim,karena wakil rakyat sudah tidak berpihak pada rakyat.",
@grahasampurna7307,"Di Potcast TERUS TERANG ini saya sangat suka sekali, yg nanya pinter ( Rizal Musytari ) yg jawab cerdas ( Prof Mahfud MD )",
@StevanoJevon,Saya saran pejabat tinggi yg berani korupsi di miskinkan aja pak supaya kalo mau korupsi berpikir seribu kali,
