username,comment,
@Lucas-ys6sn,Terus angota suruh bawa gincu sama sisir gitu kali?,
@muhdkuzaimi7105,Nie bapa siapa yang pilih di parlemen bodoh,
@yoriafrizal3705,KPK sudah tidak punya akal dan kehilangan moral etika dalam berundang undang,
@mpsimanjuntak8286,Fshry dok jahodn harudnyz gi pukjli dsjs busr rsmd,
@rickyalvaro7803,Parihamjah cara berpikirnya salah petugas kemanasaja bisa asal dalam tugas parihanjah harus bertanya sama ibu bapaknya,
@safitrisilvi8179,Dpritubangsat,
@safitrisilvi8179,Dpritusarangtikusberdasi,
@bajawastasiun708,"Lu aja yg sok keras  terus yg lain sebagai ap,ko pada ngotot semua anggota DPR arogan takut ketahuan korupsi biasanya klo orang yg ngotot itu ada sesuatu yg tersembunyi  semangat pak kpk  kalah di argumen menang tindakan... Bravo",
@roardisonnainggolan5203,"Lanjutkan tugas mu kpk,  jgn digoreng kata "" fahmi , itu tugas negara jgn dihambat pak fahmi.",
@muhammadkurdi4202,"Fahri benar, melarang petugas utk bawa senjata.!!!",
@brembo2931,Oke pakai tombak aja,
@wayansuparta1860,"Salut dngn kpk,lnjutkn....",
@AbdulRahman-eb8ky,pahpahri emang gitu nntup oknum dpr krip trmsk  papari jga,
@TimorMZuli,Penyidik kpk nya.... Pendidikannya hanya tamatan SD. Pak,
@ibuwisneli6258,"Kami masih percaya dg DPR,mereka itu ingin merusak citra DPR yg skrg rakyat sdg percaya dg DPR,semoga DPR dilindungi Allah dari fitnah keji,oleh oknum yg meng atas namakan pemerintah aamiin",
@abangsupriatna1723,Manusia harga mati calon neraka,
@nnurdinhaeyan2372,Apa yang salah ya.. Bapa  di pilih negara. Tp bapa tidak pernah Bela rakyat.. Malah korupsi uang rakyat.. Tp bapa bicara di pilih rakyat... Hahah gawaaaaat deh..,
@paktoro907,Bebas bw senjata karna geng nya pki.,
@leorisva6788,W gak butuh DPR,
@SahrulNatural,"D,PR mebiyarkan  mk mengubah uud pemilu40,menjadi 35 th 70mejdi 72 ,th lolos nyapres",
@tututbudhirianto5280,Tersungging,
@Solichin-zt7lp,Polisi lagi.... Capek dech...,
@asyarisarbani1520,"Tibake 6 tahun yang. Lalu, nggletek.",
@sulasmiaewes620,Dor langsung ribet amat.,
@dahirondahiron3581,"Pejabat publik itu banyak pie tontonan itu ?
Orang yg ngeyel itu katanya bertugas kok gitu ya silakan kalian petinggi negara punya kewenangan tuk tuntaskan cara kerja petugas benar atau ngundang kelenger itu ada ditangan kalian yg berwenang.
Petugas kok dak taat aturan ?
Petugas benaran bukan sih ?",
@naisujai1075,parah ini petugas,
@dglewa4121,Meman ini pahri ini terlalu kasar caranya aparat bikin seperti anak2 itu aparat negara,
@NandangCahya-mt4hi,Paingan idonesa tidak maju maju  pingpinanaoge ribut melulu  malu atuh  rakyat yg menyaksikan beri conto yg baik baik. Ha ha ha,
@teuingsaha5337,Yang berkuasa sekarang itu siapa?.new ordelama pak,
@syahirwan1739,Polisi ini terlampaiarogan nt kena imbang  oleh tni seperti linud 100 binjei sumut byk yang mati kinyol brimib lwan rakyat kok pakai senjata pengecuut,
@onangrosi-k8p,gelada nya tdk di larang tapi kalo bawa laras panjang itu untuk apa si,
@jasmaidiSag-gj3to,Kebijaksanaan Kapolri?,
@DaffaRealme-id4uf,Bubarkan dpr,
@idhamkholidn4437,Emang mekah 2,
@bambangsetiawan2257,Larang tu Fsahri Koko gak bisaente meplarsang bujuursiak,
@suparminsupar8667,SENPI UNTUK KKB. SAJA..,
@ediedi275,Emangnya..kamu yg punya gedung..itu fari hamsa..,
@PakdeHadi-fi4xe,"Lah Fahri bicaranya nglantur ,klo sekarang kok ke balik tegakkan hukum,mencla mencle mulutmu,",
@echaquuen4100,Bubarkan sh dpr,
@windyyck3941,Ngapain takut sm senjata,
@cang-uc8zl,Artinya terlalu banyak dosa,
@masfahby2603,jadi ketahuan bidoh nya... jadi yg pinyer siapa ya...,
@apolospaulus9323,D̤P̤R̤ m̤a̤ṳ k̤e̤b̤a̤l̤ h̤ṳk̤ṳm̤.̤ m̤a̤s̤a̤l̤a̤h̤ h̤ṳk̤ṳm̤ p̤a̤l̤i̤n̤g̤ r̤ṳs̤a̤k̤ d̤i̤ I̤n̤d̤o̤n̤e̤s̤i̤a̤ e̤h̤.̤.̤.̤b̤ṳs̤y̤e̤t̤,
@aisahnur5761,"Sama aja, maling triak maling.",
@AzaharaBuhare,Bestakari,
@encungkurniawan5265,jangan marah marah  pahri,
@didirosell9597,"Ngapain ribut sama senjata ,kami di kalimantan kemana2 bawa senjata biasa aja",
@johanneszhang631,Downdload google,
@husensuprihadi9337,...,
@tinimulyati4660,Waduh brimob nya arogan,
@ahmadsugiono7941,moguk cong,
@idabagusagungdharmanyadnya2266,"Kenapa takut dg kedatangan anggota KPK, , ?
Kalau takut kemungkinan anggota DPR pasti gemetar dulu krn merasa kesalahannya.",
@djumadisastro3832,Ini yang ada nama ini sejak kasus yang ada sudah paling lama kok bisa ditibul kan lagi ini gak boleh diungkap ini yang bicara digital tolong ditutup ajah assalam mualaikum,
@MulyadiMul-b5o,"Itu,kan nerita udh basih  kok di tayangin lagi bos",
@tututbudhirianto5280,"Jrn Fahri ternya bermasalah  ,",
@idhamkholidn4437,Emang mekah madina 2,
@whnem22961,iiiiiih negarane dewe biyuuuuuh rencana masif tenan,
@andibotox3164,"Ad ap dgn DPR,kok d kunjungan KPK...",
@Mu2goletrax,Yg gila simulut besar,
@naisujai1075,petugas kpk ditanya aturan bawa senjata ke parlemen...? ga bisa jawab,
@tanjungraya4437,"JANGANTAKUT.SAMA.PAHRI
RINGKUS..BERGOL...AMPUN..PAHRI",
@qiaqiandraqia5619,Fahri sama suharto...tunggal hatix,
@nandangruchdiana1366,"Yah itu sih akal""loe ajh pahri intinya loe koropsi makan uwang rakyat saya sumpahin perut loe buncit",
@britatviate8657,brimob mau merampok ya...?,
@sumiaryaniyani3448,Dpr dapur rampok rakjat  mpr markas rampok rakjat,
@yuliahafizah2269,Tahuran d tembung,
@FayAlfariz,jangan2 si fahri korupsi,
@suryadiadi1227,Hancur negara itu tuntuk aja,
@fatmafaidah6015,M,
@windyyck3941,Curiga takut mau d gledaaa,
@SupriYanto-ql2vh,"Itu fahri yg dulu,,skarang mah dah gak kyanya",
@dtumanggor2214,hanya kau yg percaya omonganmu fah,
@adeirawan4631,"Kita sebagai rakyat juga kecewa dgn DPR.
Rakyat salah apa kepada DPR???",
@RamlyGih,Jgn bela Fahri Hamjah itu manusia TDK jelas itu,
@imamsoepardjan5865,"Koq,,kyk mau perang ya,,kn ini aman,2 sja,ini negara hukum,lho,,",
@sigitsigitae8916,Kpk kok di kalah kan emang kantornya,
@timer3549,Jujur gak bos jalan kan tugas,
@njanjaelani4612,Jaenudinmz,
@abelrefian-ge9kj,Takut dtembak x,
@ahmadsihabudi972,Jangn cari pagung fari..kmu udah gk laku,
@sopandihadiyana3538,Dukungan apa bibir lu aja kali bicara menyon !!,
@litasuhardi3083,Makanya unsur jokowi aneh,
@jakariamihrobi3124,Mungkin diruamgan itu banyak yg perlu dibunuh,
@paksukimin9808,Maaf yg.mssuk mungkin ilmu panglimunan walau wanita kan mungkin sdh.siap rosiko,
@KasumaRambe,Tikan.,
@yadisetidi8304,"Aparat ko arogan bngt..,,",
@mochamatbustomi7079,Maling takut digeledah,
@partimahpartiparti6103,Pak fahri h anda pejabat  kok arugan buktikan skil yg baik ahlaknya baik sepertinya anda kroni2 durna,
@muhamadnur7067,Pakai dong aturan yang ada bos kalau tugas,
@lm_caca,Kaya mau perang aja,
@hasbullahabul5415,Kacau sudah,
@AbuBakar-xv3dv,Kpk kok aeperri polisi,
@paksarkum2989,Orang udah pada kerja bukan kasih tonoh yang naik masa bikin rese,
@LabirziLabirzi,Ce,
@titinhidar4367,Demitugasnegarah,
@sripermula167,Teman ya sambo....arogan,
@aisyahazahra5467,Menghasut aja,
@mycantik4492,"6






Mï",
@kadalbuntung9993,"Beritanya sudah usang, bro",
@soekestrisiswosumarto6288,Udaj lama kok diputarlagi,
@saronioon4224,B,
@HermanSyah-of5mu,Penidik gk boleh bwa senjata,
@ibrahimbora4365,77 hi hi hi hi hi hi hi,
@johanesridar2251,P,
@isimmaful908,L ke rumahd4,
@deltagamechanel1113,"Kami dukung kpk10000,:",
@chesterbenington6210,pl0,
@wasitoronggo8110,"Wong parlemen, kok ada yg masuk bawa senjata, maksudnya Pye To,
Emang ada Musuh,
Angel angel wes Angel angel Pak,",
@bondanprayoga3713,Ga usah gerogi bos geding parl parlemen di.bilang yempat.suci,
@idhamkholidn4437,Fahri nob,
@tvrusak4155,Sangat banyak rakyat tdk setuju perpanjangan masa jabatan kades.,
@muhammadtaufikamrullah9224,"Matematika nya benar,, 3 kali 6 = 18
2 kali 9 = 18
Tapi konsekuensi nya berbeda. 
Jabatan Kades itu esensinya jelas per periode,, jangan dikalkulasikan jumlah 2 periode atau 3 periode nya,, 
Itu tidak ada korelasinya,, 
Krn kalau buruk kadesnya 6 tahun tidak terlalu lama bobrok nya, tapi kalau 9 tahun kelamaan bobrok nya",
@dedenab2432,"Klo di bandingkan Jabatan kepala desa yg dulu dan sekarang lebih enak yg sekarang, dulu anggaran pemilihan kepala desa di tanggung para calon, tapi sekarang di tanggung Pemda, dulu dana desa cuma dapat 60 jt, tapi sekarang hampir 1,2 M, tapi masih kurang juga, klo saya lebih setuju masa jabatan tetap 6 th, supaya menghindari istilah Dinasti kekuasaan, dan supaya Demokrasi di Desa berputar, sehingga bisa membuat pemikiran masyarakat desa semakin maju",
@PEMULA-l5w,"Lebih Setuju Perangkat Desa PNS Apa lagi Sekdes Kerja Seperti Robot, kadang keluarganya sering di tinggal Ngurusi urusan desa dan masyarakat,, kalo ini saya yess pak DPR , dari pada usulan yang lain",
@KontenReaksi,Suka2 kalian lah yg jls pada intinya revisi undang2 bukan keinginan msyarkaat,
@bangandi9458,"Bapak wakil rakyat yang terhormat .. 
Wacana revisi UU Desa baik untuk bapak2 yg  di tinggal dan duduk dikota metropolitan tau menyebut Desa .. 
Fakta Desa di lapangan sangat jauh dari rencana Bapak2 yg ter hormat .. 
Rencana itu baik tapi kalau  menaikkan dana desa itu hanya untuk mensejahterakan mohon digaris bawahi Kepala Desa buka DESA .. 
Bapak2 yg tidak melihat bagaimana tingkah Kepala Desa, dgn Dana yg ini saja mereka menjadi Raja2 kecil paling bawah merampok hajat serta azas  UU  yg katanya untuk kemaslahatan RAKYAT/ MASYARAKAT 
Jika selain Dana Desa Saya juga selaku warga negara Indonesia  minta selain urusan Dana , saya sepakat dan setuju ,🇮🇩🇮🇩",
@sugengwiyono5603,Tidak setuju penambahan msa jabatan kades yg idial 5 th kami rakyat desa menyesal dg keputusan dpr,
@cheamy,Kami rakyat  tidak setuju  perpanjang  masa jabatan  9 thn...,
@adishrah143,Saya yakin 90 %rakyat tdak setuju di perpanjang 9 thn,
@sumari919,inilah awal kebobrokan DPR sebagai wakil rakyat.  jabatan kepala desa 9 tahun adalah sama dengan memberikan lapangan pekerjaan korupsi di desa. DPR saat ini sangat rendah dan tdk memikirkan rakyat .hanya untuk kepentingan kelompok saja . rakyat adalah yg di pimpin .namun rakyat menjadi lahan untuk di jadikan ajang korupsi .,
@agungcahyono2169,"Wah diamanahkan bagi kepala desa yg kreatif dan humanis terhadap warganya,,,dlm pembangunan desa melalui dana desa tsb",
@arifbungu4943,"Cukuplah bagi kami Allah, sebaik-baiknya pelindung dan sebaik-baiknya penolong kami",
@Hendrik-wp4oo,"Gapapa nambah masa jabatan tapi harus nambah juga hukuman bagi koruptor.
Minimal potong tangan kalo bisa sih hukum mati",
@muhtadinadin775,SEBAGAI WARGA INDRAMAYU SAYA TEGAS MENOLAK....KALIAN WAKIL RAK-RAK BUKAN PERWAKILAN KEPALA DESA..HATI DAN NURANI DI BUKA,
@okisurhadi8925,Hanya membahas Dana dan kades tapi kalian lupa di balik itu ada orang yang bekerja yaitu perangkat desa yang tidak jelas status nya yang bekerja 24 jam.,
@sumarman3736,Biarlah nanti yg memilih anggota dpr para kades rakyat netral,
@hanafisabri453,"Asli dpr bukan wakil rakyat,  tapi wakil partai nafsu terhadap jabatan, 
Padahal semua masyarakat menolak perpanjangan jabatan Kades",
@desajati1414,tolak 9 tahun ..,
@wongdeso-yq5nh,"seharusnya malah 6 tahun 2 periode, 12 tahun itu sudah sangat cukup bagi seorang kepala desa untuk memajukan desa",
@novieftianekakrishna5742,kok jabatan Kades yg di pikirkan..kesejahteraan perangkatnya yg di pikir..semua program pemerintah ujung tombaknya Perangkat Desa..tapi kesejahteraanya gak di pikir..Kewajiban sama bahkan lebih dari PNS..Haknya di kebiri..Tidak ada Bengkok. Siltap keluar 3-4 Bulan sekali..tak ada THR tak ada Gaji 13-14..tidak ada Tunjangan apapun..masa kerja tidak di hitung..0 tahun dan yang 30 th siltap sama...ini fakta bukan HOAX..Biar gak picek mata DPR/MPRnya..,
@budidarmanto7225,"Bapak2 di DPR apakah memikirkan jg kinerja KADES yg buruk, arogan, pasif bekerja..kok asal mau naikkan masa jabatan kerja. Sehatkah pemikiran spt itu?",
@taufiqsitubondo7820,DPR RI hanya menyebabkan politik menjadi statis yang ada di desa. Dari enam tahun menjadi sembilan tahun,
@aaaa-wu1ey,"Perhatian dpr ke perangkat desa tidak ada, padahal ini sudah puluhan tahun di janjikan dan diperjuangkan... PERCUMA TA BERGUNA
Revisi UU desa akan berjalan baik kalo kesejahteraan perangkat desa sebagai pelaksana pemerintaham dia abaikan..",
@DanangSaputra-gs7rf,Perangkat desa yang harus diperhatikan itu yang saya tunggu perubahannya,
@zaifulbahri6695,melakukan konsolidasi apa? jadi kepala desa kayak jadi menteri saja,
@nurajiurip2430,Korupsinya tambah lama nie...,
@CahyoMedia,"Aneh DPR ini.. padahal banyak rakyat tidak setuju lho.. mereka ini rata² kaum ngeyel, suka debat, sok tau soal di desa, tpi susah mau denger suara rakyat.. 

Yg minta tambh masa jabatan kades itu BUKAN RAKYAT, tpi keinginan masing² pribadi kades.. ini bukan soal matematika yg 3x6 dan 2x9 sama hasilnya 18.. ini soal sistem siklus demokrasi, yg hasilnya akan sangat berbeda.. 3x6 akan menghasilkan pmimpin yg serius n fokus, klo 2x9 akan menghasilkan pmimpin yg santai, gak fokus bhkan otoriter.. 

Kmakmuran desa bukan diukur dri masa jabatan kadesnya.. kasihan rakyat yg punya kades tpi gk bisa ngelola desanya, yg harusnya 6 thun udah bisa perputaran generasi tpi masih nunggu lgi..  

duuh.. DPR ini mewakili siapa sih sebnarnya.. heeeeeh.. jngkel bnaget rasanya.. kayak sok tau bnget gitu persoalan di desa, dan mnganggap semua desa seluruh Indonesia itu sama.. padahal tiap desa, lain daerah itu budaya n potensinya berbeda².. bahkan ini mungkin juga banyak orang dpr yg gak tau klo bnyak desa yg administrasinya msih bnyak yg amburadul, bnyak markup dimana², bnyak penyalahgunaan kekuasaan, dana desa buat bancakan.. dsb. 

Jadi yg perlu dirubah, itu sebnarnya bukan ditambah masa jabatan, tapi sistem dan mekanisme, serta pengawasan pada pemilihanya.. supaya tidak mnimbulkan polemik saat pencalonan.. itu jika yg jdi alasan adalh polemik yg berlarut saat pemilihan..

 tpi wis mbuhlah, terserah dpr aja yg maha benar.. klo dpr sudah berkilah, rakyat hnya bisa pasrah..",
@uthasafsafubun5760,"Rancang regulasi yg aneh2', mau pemilu jd buat gerakan tambahan. Menambah DD dgn menaikan prosentasi dana tranver ke daerah sama sj membohongi rakyat krn jatah ke daerah dipotong. Banyak kades yg korup, aneh2 sj",
@karyalaksana723,Bentar lagi ada demo dpr pengen naik jadi seumur hidup,
@arra_chenel4414,"satu pun pasal, tidak ada yg berpihak pada perangkat desa.
sangat mengecewakan !!!",
@setyopurnawan541,"DPR....bikin negara bangkrut....
Sebelas dua belas antara yg usul dengan yg membahas usulan.....gak Ono urgensine babar blas.....kecuali meraup keuntungan pribadi.....perpanjangan kades kok alasane konflik.... Diguyu kodok udut.....konflik pasca Pilkades iku wis Ono sejak jaman kodok durung udut.....nek gak iso mengelola konflik yo wis gak usah nyalon kades........alasane digawe sing agak cerdas gitu lho bro.....hadehhhhh",
@azianhutris1866,Semoga status Perangkat Desa Makin jelas,
@secangkir542,"ttapi perlu di awsi,dana desa tersebut..se di tail mungkin agr tidak di salah guna kn dn ujung2 hnya meperkaya perangkat desa saja.",
@EmanSuherman-tl8uq,Seharusnya DPR lebih kasihan kpd calon kades yg kalah dia juga sama mengeluarkan modal,
@ringpitulas2895,9thn ndak pa2 tp coblosan berikutnya jgn yg ini diperpanjang,
@dimasadi4883,Saya jg setuju 6 tahun saja masa jabatan kepala desanya jangan sampai lebih dari 6 th karena apa bisa membuat kita bosen soalnya terlalu lama percuma bangunan mah monoton gitu2 aja.,
@irwanthg2631,"Kalau masa jabatan kades 9 THN yg  sejatra itu istri dan anak2 para kpla desa....
Bukan masyrktnya",
@firmanfirman4815,Ini baru DPR yg mantap,
@dedisiswanto3892,"Kalo dana desa naik, insentif perangkat dan kepala kampung saya  setuju, akan tetapi apakah DPR sudah mempertimbangkan jika kepala desa tidak produktif dan kurang kopeten"", alangkah hancur nasip masyarakat dan pembangunan desa setaknat""",
@peterlaowo1001,Semoga Perangkat desanya di angkat Asn,
@DewaDua-u6p,Masalah status perangkat desa kagak ada gimana ini ?,
@ultah28-hz3uw,Lapor selidiki dan tangkap jaringan Teroris dukun santet UNY jembatan merah 2020. Sebelum BNPT RI konfrensi pers lebih baik berhati hati.,
@andozaja8744,Sekalian aja buat seumur hidup,
@antoniobanderas7763,"Koruptor dr tingkat paling rendah sampai dipuncak rantai korupsi sedang berpesta,",
@wahyumargana5229,Lihat atuh kelapangan bos jangan duduk aja tanya kepada masyarakat nya betul engga ada pembangunan sok tahu,
@mycartoon9746,DPR LAWAK,
@adishrah143,"Cukup lah 6 thn..


Biar yg lain bisa mencalon kan diri.

Kalu 9 thn terlalu lama",
@muh.reihancilik619,PLD Watubangga Kab. Kolaka Hadir.,
@sigitwijayanto4791,Masalahnya anggaran dana desa itu di gunakan dengan baik dan transparan agar masyarakat ikut merasakan hasilnya..  di bentuk tim yang benar benar jujur mengamati penggunaan dana desa. Dan anti sogok,
@NanangJieSMilita,DPR lawak,
@ErwinDulmin-tw5th,MY WIFE... MAMI.... PRINCESS KAKO.... MISS YOU.... MAHATMA GANDHI........,
@rasliadikadesnamosialang8227,Betul kali pak semua keluarga kalau,
@khidirdzullbhadra7433,"Kegilaan adalah melakukan hal yg sama berulang-ulang dan mengharapkan hasil yg berbeda"" ~ Albert Einstein",
@sry5033,"Keputusan yg tdk tepat, periode 9 terlalu lama, bila tdk baik dlm kinerjanya tentu akan berdampak pada keresahan masyarakat.
6 th sdh tepat itu . Yg perlu di kaji adalah kesejahteraan kepala desa, perangkat dan juga BPD",
@johansukmara2495,"Kepada pemerintah tolong pengawasan dan hukum harus  jelas karna itu uang rakyat dan dana desa itu tidak sedikit supaya tidak ada penyelewengan, kami selaku rakyat minta tidak hanya dari segi aturan melainkan tindakan dan pelaksanaan yg real.",
@Sutrisno-m7f,Semakin panjang periodenya konflik dan trauma jga akan semakin panjang ......karena konflik akan reda jika mau mulai pemilihan kepala desa,
@sudirmankaccok6003,Saya setuju,
@Arenkumaikrasen,Ekonomi apa yg bisa dibangun oleh desa kita ajak sebagai kelompok yg sudah ada komoditi yg pasti untuk dipasarkan tdk pernah ada dana untuk kelompok untuk diperuntukkan kpd kelompok untuk menopang perekonomian kelompok/ Masyarakat itu pak pak sy kepingin kades itu jabatanya 3 tahun kalau bisa.,
@sriwolobutuhpurworejo3715,"pengawasan langsung BPK /BPKP
kalau inspectorat percuma!!!",
@RidwanKaawu-nb4lt,Msyarakt  desa makin sejahtera,
@budyyanto5327,Ngomong saja kamu punya kepentingan.,
@ahmadzaenudin5454,"Jejang karir jadi perangkat desa jalan ditempat tidak ada perubahan tanggung jawab semakin banyak... Terutama kepala dusun/kewilayahan/lingkungan kerja 24 jam dengan resiko nyawa melayang disaat menyelesaikan perkara pertikaiang antar warga,kelurga dan kenakalan remaja.... !!!! Saya kasihan melihat mereka pak prabowo mohon diperhatikan kesejahteraannya...",
@budyyanto5327,Jgn memandang sebelah mata itu cuma versi lkades.  Hitungan matematika iya sama masa jabatan 6 sama 9.  Tapi ini bukan pelajaran matematika  jgn asal ngomong. Yg di rasakan masyarakat beda.,
@kristoforusemanuellando7347,"Dan salah satu hal yg perlu di pertegas adalah penggunaan Dana Desa...!!!
Pihak Pemerintah harus benar seeius dalam melakukan pengawasan terhadap penggunaan Dana Desa agar tidak terjadi penyalahgunaan keuangan Desa tsb untuk itu maka dari pihak pemerintah harus mexiapkan suatu gerakan kusus utkemgawasi penggunaan desa yg tdk boleh di ketahui oleh Desa katakanlah itu seperti Badan Intelijen Desa yg tugasnyabmengawasi, menyelidiki dan mexidiki proses peejalanan pemerintahan Desa...!!!
Temuan2 yg di dapatkan di laporkan langsung ke KPK...!!!",
@pacesilla8518,Pemilihan umum klu tdk ada pemerintah desa atau peeNgkat desa pasti semua tidak berjalan lancar tetapi ada orang2 yg nasibnua tdk jelas ini yg sellu bekerja untuk memperlancar semua kegiata...... Bahkan semua yg dari pusat... Propinsi... Kabuparen... Kecamatan sampai desa... Itu semua akan tertuju ke desa...,
@rdmasokeh5253,Dableg ! Uud dari jaman kuda gigit roti aman aman saja perlima th cukup 2 priode sdh cukup. Kembalikan desa desa yg telah di kuasai pemerintah ! Itu baru bener ? Kelurahan desa yg berpotensi selalu di kuasai pemerintah dasar nya apa ! Dasar nya piring sendok kobokan untuk masarakat.,
@iismayangsari700,"Undang"" desa di tambah jabatan , rakyat jja yang kita pikirin ,",
@tuantigabelas7327,Taaaiii,
@sibocahtangguh1,"Di aceh pidie gaji jauh dari kata mencukupi..
KAUR : 700RB /BLN
BENDAHARA : 700RB/BLN
KEPALA DUSUN : 500RB/BLN
COBA DI SELIDIKI ADA APA DI ACEH  KABUPATEN PIDIE
GAJI JAUH DARI KATA MENCUKUPI",
@arrahmah12official82,"untuk kades yang sudah menjabat cukup sebagai yang tertera di sk..selama 6th...jadi UU nya yang akan disepakati itu untuk pemilihan kades baru kedepan,,masa jabatan periodenya...",
@SugiSugi-t2u,Assalamu alaikum yg penting perbayak audit didesa Assalamualaikum,
@SYUKRONANDRI,"STOP PILKADES, 
KARENA DAPAT MEMICU KERICUHAN KERIBUTAN MASYARAKAT, ANTAR BLOK DIDESA..",
@fabeanus1284,"Yang hebat nya sekarang,  pemberlakuan UU itu,  biasanya tidak berlaku surut",
@Kelam-e5k,PK presiden tolong lh rakyat .gimana cara nya makmur.bukan kadesnya yg di suruh hidup kaya dn makmur.,
@ironeone4546,Biar malingnya semakin menambah,
@jailaniseli4103,"Iyaa betulll , 
Modal jadi kadess blum balikk
Eh jabatan nyaa mau habiss
Blom sempett kenyangg korup 
Jadi alangka bagus nya
Di perpanjang lgi waktu jabatan nyaa ..!!!!",
@rejosarirejosari-cr7wz,Masyarakat harus lebih korektif terhadap Dana Desa agar tidak terjadi penyelengan dalam pelaksanaannya.,
@RisalNamkatu,"Sy minta dgn hormat agr  Dri wakil rakyat jgn cuma setuju-setuju SJ  coba klian turun D desa dn lihat ap betul kinerja kpalah"" desa TDK becus sbb agran yg d salurkn cukup besar tp knyataan d desa"" TDK maju.hanya kpalah desa dn stap nya sja yg senang",
@herisupriono993,Negara republik jadi kerajaan,
@ilahanjaya9941,Kembalikan hak prerogative kades tntang pengangkatan dan pemberhentian aparat desa,
@scream04inzaghi-ie9ie,"udah mantap editing, dan penyampain dengan bahasa akademis yg sulit di mengerti rakayat kalangan bawah
pantes anggaran bengkak 🫵",
@yafizaki5044,Kalau 9 th terlalu lama.dan mencederai demokrasi di desa.dan kewenangan kepala desa bisa otoriter dan menjadikan sarang korupsi dana desa lebih lama,
@Kelam-e5k,Seketahu saya belum ada koruptor yg di hukum.tapi pencuri ayam yg di hukum.,
@ic8h9v8civ9,6 thn sdh byk yg gk becus apa lg 9 thn. Tlg ttp 6 thn. Kshn sm pegangguran yg py cita2 jd kades,
@jacobmanansang5194,"Bukan masa jabatannya yg dibahas dan di evaluasi tapi kinerja yg dibahas dan dievaluasi, cari solusinya biar kepala desa bisa menjadi motor penggerak pembangunan desa. 15 tahunpun lamanya masa jabatan tapi jika tdk ada kontribusi utk desa itu sama saja NOL, 6 tahun tapi jika bnyak  yg dibuat untuk kemajuan desa ini yg baru OKE.",
@kevinohkevin4274,Udah bener masa kepla desa 6 tahun . Tapi yang perlu di pertanyakan soal status perangkat desa ini.,
@pahrurrazi5687,"Fakta dilapangan,,,,makin lama kepala desa,,,semakin bnyak korupsi yg mreka lakukan",
@RudiKJawel,memberi waktu kepeda kepala desa untuk menambah pundi pundi kekayaan,
@oppoa-ft2sg,Perubahan masa jabatan kades jadi 9 tahun semakin nyaman korupsi kades coba audit dulu desanya ada dana desa makin maju atau jalan ditempat coba diaudit dulu dana dea dan ADD kades bukannya tidak mengerti administrasi desa kepalanya dan otaknya hanya berpikir bagaimana cara buat laporan untuk mencocokan alias buat laporan bohong selama tidak ada pengawasan yang ketat uang rakyat jadi membuat kades kaya raya kalau desa diaudit yakin penjara akan penuh sesak. Maka lebih baik stop dana desa daripada memperkaya kades jadi biarlah jangan ada dana desa rakyat.tetap susah tetap miskin karena korupsi.,
@andozaja8744,"6 tahun aja kelamaan alalagi 9 tahun, kacau",
@AfBerkah,Yang lebih miris lagi saat ini adalah aturan tentang bhw kedes dan perangkatnya bisa di anggarkan untuk jalan2 / represing .enak benarrr pemerintah desa sekarang bisa menganggarkan dana desa untuk rame rame .ini namanya pemborosan uang negara,
@OppoA16-z5w,Setuju aja yang penting dari seja pelantikan jangan di tambahkan madarakat jenuh,
@AenunhasmitJulianti,"Udah aja 1000 tahun nanggung
Nu ngampar ngampar nu nabeh nabeh nu rapar rapar nu sebeh sebeh",
@ainurmilah1541,Lebih setuju perhatikan nasib status perangkat desanya dibenahi,
@p3c561,Tidak setuju,
@HermansyahSiregar-qs5ru,Belum ckup untuk mengelola add desa dan sebagian ada yg mengkorupsikanya,
@sunnar2334,Banyak di korupsi pembangunan msh stagnan uang reses anggota dewan jg kurang optimal msh di nikmati oknum rakyat dong di utamakan,
@YosepDodiDajo,"Status klaw bisa PPPK
Biar nasib aparat desa juga bisa membaik ....selama ini kami mengalami gaji 3 sampai 4 bulan baru terima",
@MemedAlijaya,Harus nya 15 tahun baru lebih kaya kepala desa,
@keinsafansarumaha9276,Siltap perangkat desa hanya 700 ribu perbulan. Di Nias selatan,
@StanisNola,"Bagaimana tentang jabatan BPD yang berakir masa jabatan bulan juli 2024, apakah bisa perpanjang?",
@fadlikharis1151,"Santai saja perangkat desa atau PPDI, anggota DPR bermain politik tnpa memikirkan PPDI, lawan saja dengan cara politik, kades cuma satu PPDI lebih banyak, ingat anggota dewanya, ingat partainya, febuari tengelamkan mereka beserta partainya.",
@Azzamtimb,"masa jabatannya kades diperpanjang sama ajha memberikan kesempatan bagi para kades untuk memanfaatkan kesempatan untuk melakukan intimidasi terhadap masyarakat,dan juga memberikan kesempatan bagi para kades untuk melakukan penyelewengan Add.",
@prayogipangestu3108,"Di desa saya Desa Lubuk Saban Kec.  Pantai Cermin Kab Serdang Bedagai Provinsi Sumatera Utara selama 2 periode kepala desa tidak pernah melakukan pembangunan apapun,,dana desa tidak pernah di infokan ke pada masyarakat luas dlm hal ini warga desa, jalan2 desa masih tidak ada pengaspalan, objek wisata pantai tidak ada dibuatkan kepengurusan, tidak ada di bangun sarana lapangan olahraga..dan banyak lagi",
@jujugilang3539,Pemdes cihideunggirang,
